Scenario;NumProc;NumIterations;ExecutionTime
1;1;192000000;5873
1;4;192000000;1506
1;8;192000000;756
1;12;192000000;508
1;16;192000000;385
1;24;192000000;267
1;32;192000000;206
1;48;192000000;133
2;1;4000000;129
2;4;16000000;140
2;8;32000000;143
2;12;48000000;136
2;16;64000000;134
2;24;96000000;139
2;32;128000000;140
2;48;192000000;141
