3.141944;1.11837035844059E-4;1000000;785486;1;50
3.1421;1.6149337808874466E-4;1000000;785525;1;48
3.14168475;2.9315197850897205E-5;16000000;12566739;1;650
3.14101525;1.83793270949112E-4;16000000;12564061;2;340
3.1413575;7.485171240281935E-5;16000000;12565430;4;208
3.14208975;1.5823070175525816E-4;16000000;12568359;8;145
3.1411505;1.4074185884274437E-4;8000000;6282301;1;329
3.1412995;9.331368580137397E-5;8000000;6282599;2;206
3.14115;1.4090101378585852E-4;8000000;6282300;4;115
3.141674;2.5893366574437913E-5;8000000;6283348;8;90
